Datetime,TAVG
3/15/2014,52
3/16/2014,37
3/17/2014,29
3/18/2014,40
3/19/2014,48
3/20/2014,43
3/21/2014,51
3/22/2014,52
3/23/2014,37
3/24/2014,31
3/25/2014,33
3/26/2014,29
3/27/2014,40
3/28/2014,54
3/29/2014,42
3/30/2014,39
3/31/2014,48
4/1/2014,62
4/2/2014,54
4/3/2014,55
4/4/2014,57
4/5/2014,43
4/6/2014,46
4/7/2014,52
4/8/2014,50
4/9/2014,51
4/10/2014,56
4/11/2014,67
4/12/2014,62
4/13/2014,71
4/14/2014,67
4/15/2014,38
4/16/2014,37
4/17/2014,50
4/18/2014,57
4/19/2014,59
4/20/2014,60
4/21/2014,64
4/22/2014,65
4/23/2014,49
4/24/2014,55
4/25/2014,60
4/26/2014,62
4/27/2014,63
4/28/2014,64
4/29/2014,65
4/30/2014,59
5/1/2014,53
5/2/2014,52
5/3/2014,55
5/4/2014,62
5/5/2014,59
5/6/2014,61
5/7/2014,70
5/8/2014,74
5/9/2014,70
5/10/2014,66
5/11/2014,67
5/12/2014,75
5/13/2014,76
5/14/2014,67
5/15/2014,58
5/16/2014,49
5/17/2014,48
5/18/2014,52
5/19/2014,58
5/20/2014,67
5/21/2014,72
5/22/2014,70
5/23/2014,67
5/24/2014,65
5/25/2014,69
5/26/2014,71
5/27/2014,77
5/28/2014,75
5/29/2014,75
5/30/2014,75
5/31/2014,74
6/1/2014,75
6/2/2014,74
6/3/2014,74
6/4/2014,71
6/5/2014,68
6/6/2014,70
6/7/2014,71
6/8/2014,70
6/9/2014,65
6/10/2014,68
6/11/2014,68
6/12/2014,69
6/13/2014,70
6/14/2014,64
6/15/2014,70
6/16/2014,78
6/17/2014,79
6/18/2014,81
6/19/2014,80
6/20/2014,75
6/21/2014,75
6/22/2014,76
6/23/2014,79
6/24/2014,75
6/25/2014,74
6/26/2014,76
6/27/2014,79
6/28/2014,75
6/29/2014,76
6/30/2014,76
7/1/2014,81
7/2/2014,74
7/3/2014,68
7/4/2014,67
7/5/2014,70
7/6/2014,72
7/7/2014,76
7/8/2014,75
7/9/2014,74
7/10/2014,74
7/11/2014,74
7/12/2014,74
7/13/2014,79
7/14/2014,74
7/15/2014,69
7/16/2014,64
7/17/2014,66
7/18/2014,68
7/19/2014,66
7/20/2014,72
7/21/2014,76
7/22/2014,81
7/23/2014,76
7/24/2014,70
7/25/2014,69
7/26/2014,72
7/27/2014,74
7/28/2014,68
7/29/2014,62
7/30/2014,68
7/31/2014,72
8/1/2014,74
8/2/2014,74
8/3/2014,72
8/4/2014,75
8/5/2014,73
8/6/2014,75
8/7/2014,74
8/8/2014,72
8/9/2014,73
8/10/2014,77
8/11/2014,75
8/12/2014,72
8/13/2014,68
8/14/2014,71
8/15/2014,68
8/16/2014,66
8/17/2014,74
8/18/2014,76
8/19/2014,76
8/20/2014,75
8/21/2014,74
8/22/2014,77
8/23/2014,79
8/24/2014,80
8/25/2014,80
8/26/2014,79
8/27/2014,80
8/28/2014,78
8/29/2014,77
8/30/2014,77
8/31/2014,74
9/1/2014,76
9/2/2014,75
9/3/2014,73
9/4/2014,75
9/5/2014,79
9/6/2014,74
9/7/2014,68
9/8/2014,70
9/9/2014,70
9/10/2014,74
9/11/2014,70
9/12/2014,61
9/13/2014,61
9/14/2014,58
9/15/2014,59
9/16/2014,59
9/17/2014,58
9/18/2014,61
9/19/2014,64
9/20/2014,69
9/21/2014,73
9/22/2014,57
9/23/2014,58
9/24/2014,64
9/25/2014,65
9/26/2014,70
9/27/2014,70
9/28/2014,70
9/29/2014,71
9/30/2014,65
10/1/2014,62
10/2/2014,71
10/3/2014,69
10/4/2014,48
10/5/2014,49
10/6/2014,55
10/7/2014,54
10/8/2014,58
10/9/2014,53
10/10/2014,55
10/11/2014,54
10/12/2014,53
10/13/2014,67
10/14/2014,67
10/15/2014,55
10/16/2014,57
10/17/2014,58
10/18/2014,55
10/19/2014,50
10/20/2014,52
10/21/2014,53
10/22/2014,49
10/23/2014,51
10/24/2014,51
10/25/2014,57
10/26/2014,60
10/27/2014,62
10/28/2014,68
10/29/2014,54
10/30/2014,47
10/31/2014,44
11/1/2014,37
11/2/2014,35
11/3/2014,45
11/4/2014,56
11/5/2014,53
11/6/2014,50
11/7/2014,42
11/8/2014,42
11/9/2014,44
11/10/2014,49
11/11/2014,58
11/12/2014,37
11/13/2014,30
11/14/2014,26
11/15/2014,26
11/16/2014,34
11/17/2014,30
11/18/2014,17
11/19/2014,25
11/20/2014,29
11/21/2014,25
11/22/2014,40
11/23/2014,53
11/24/2014,55
11/25/2014,40
11/26/2014,33
11/27/2014,31
11/28/2014,29
11/29/2014,40
11/30/2014,60
12/1/2014,47
12/2/2014,33
12/3/2014,37
